,date,state,cases,deaths
230,7/29/2020,GA,163547,3566
231,7/29/2020,GU,1320,6
232,7/29/2020,HI,1842,25
233,7/29/2020,ID,19810,176
234,7/29/2020,IL,176967,7661
235,7/29/2020,IN,65918,2932
236,7/29/2020,IA,43623,854
237,7/29/2020,KS,27177,349
238,7/29/2020,KY,29479,746
239,7/29/2020,LA,112887,3883
240,7/29/2020,ME,3866,121
241,7/29/2020,MD,86846,3478
242,7/29/2020,MA,116684,8580
243,7/29/2020,MI,89026,6426
244,7/29/2020,MN,52987,1629
245,7/29/2020,MS,55804,1563
246,7/29/2020,MO,47683,1269
247,7/29/2020,MT,3695,54
248,7/29/2020,NE,25448,331
249,7/29/2020,NV,45937,782
250,7/29/2020,NH,6513,411
251,7/29/2020,NJ,182475,15798
252,7/29/2020,NM,20136,632
253,7/29/2020,NY,418302,32342
254,7/29/2020,NC,118027,1889
255,7/29/2020,ND,6231,106
256,7/29/2020,MP,40,2
257,7/29/2020,OH,87893,3422
258,7/29/2020,OK,34605,523
259,7/29/2020,OR,17805,313
260,7/29/2020,PA,114984,7219
261,7/29/2020,PR,16061,211
262,7/29/2020,RI,18800,1007
263,7/29/2020,SC,85846,1615
264,7/29/2020,SD,8641,129
265,7/29/2020,TN,98145,1008
266,7/29/2020,TX,421891,6834
267,7/29/2020,UT,39339,297
268,7/29/2020,VT,1406,56
269,7/29/2020,VI,385,8
270,7/29/2020,VA,87837,2122
271,7/29/2020,WA,57300,1643
272,7/29/2020,WV,6326,112
273,7/29/2020,WI,55119,920
274,7/29/2020,WY,2628,26
275,7/30/2020,AL,85762,1565
276,7/30/2020,AK,3557,21
277,7/30/2020,AZ,170905,3628
278,7/30/2020,AR,41759,442
279,7/30/2020,CA,494269,9009
280,7/30/2020,CO,46338,1826
281,7/30/2020,CT,49670,4431
282,7/30/2020,DE,14689,581
283,7/30/2020,DC,12057,584
284,7/30/2020,FL,461371,6585
285,7/30/2020,GA,167545,3596
286,7/30/2020,GU,1323,6
287,7/30/2020,HI,1966,25
288,7/30/2020,ID,20378,180
289,7/30/2020,IL,178832,7677
290,7/30/2020,IN,66883,2946
291,7/30/2020,IA,44285,865
292,7/30/2020,KS,27244,357
293,7/30/2020,KY,30132,748
294,7/30/2020,LA,114595,3925
295,7/30/2020,ME,3888,122
296,7/30/2020,MD,87740,3488
297,7/30/2020,MA,117098,8595
298,7/30/2020,MI,89926,6446
299,7/30/2020,MN,53732,1634
300,7/30/2020,MS,57579,1611
301,7/30/2020,MO,49671,1288
302,7/30/2020,MT,3829,55
303,7/30/2020,NE,25766,333
304,7/30/2020,NV,47034,805
305,7/30/2020,NH,6544,415
306,7/30/2020,NJ,182845,15809
307,7/30/2020,NM,20388,635
308,7/30/2020,NY,419081,32362
309,7/30/2020,NC,120391,1929
310,7/30/2020,ND,6305,107
311,7/30/2020,MP,42,2
312,7/30/2020,OH,89626,3442
313,7/30/2020,OK,35710,536
314,7/30/2020,OR,18166,318
315,7/30/2020,PA,115853,7248
316,7/30/2020,PR,16572,214
317,7/30/2020,RI,18950,1007
318,7/30/2020,SC,87572,1667
319,7/30/2020,SD,8685,129
320,7/30/2020,TN,100166,1022
321,7/30/2020,TX,432134,6987
322,7/30/2020,UT,39714,303
323,7/30/2020,VT,1407,57
324,7/30/2020,VI,385,8
325,7/30/2020,VA,88745,2138
326,7/30/2020,WA,58100,1653
327,7/30/2020,WV,6422,115
328,7/30/2020,WI,56111,928
329,7/30/2020,WY,2686,26
330,7/31/2020,AL,87723,1580
331,7/31/2020,AK,3675,21
